,base_estimator__criterion,base_estimator__max_depth,base_estimator__max_features,learning_rate,loss,n_estimators,random_state,0
181,friedman_mse,3,sqrt,5e-05,square,1000,88,-13.62675387894113
182,friedman_mse,3,sqrt,5e-05,square,1500,88,-13.624372788670149
183,friedman_mse,3,sqrt,5e-05,square,2000,88,-13.624666506019196
184,friedman_mse,3,sqrt,5e-05,square,2500,88,-13.626244712966109
185,friedman_mse,3,sqrt,0.0001,square,500,88,-13.626471325297633
186,friedman_mse,3,sqrt,0.0001,square,1000,88,-13.627868738712587
187,friedman_mse,3,sqrt,0.0001,square,1500,88,-13.626966449464765
188,friedman_mse,3,sqrt,0.0001,square,2000,88,-13.626792886888419
189,friedman_mse,3,sqrt,0.0001,square,2500,88,-13.62691124664843
190,friedman_mse,3,sqrt,0.0002,square,500,88,-13.630051651199173
191,friedman_mse,3,sqrt,0.0002,square,1000,88,-13.627883311117904
192,friedman_mse,3,sqrt,0.0002,square,1500,88,-13.6242538022915
193,friedman_mse,3,sqrt,0.0002,square,2000,88,-13.625568982858965
194,friedman_mse,3,sqrt,0.0002,square,2500,88,-13.62471474011755
195,friedman_mse,4,sqrt,5e-05,square,500,88,-13.551423409627915
196,friedman_mse,4,sqrt,5e-05,square,1000,88,-13.552299548015764
197,friedman_mse,4,sqrt,5e-05,square,1500,88,-13.54909723827773
198,friedman_mse,4,sqrt,5e-05,square,2000,88,-13.549799629046504
199,friedman_mse,4,sqrt,5e-05,square,2500,88,-13.550741045009763
200,friedman_mse,4,sqrt,0.0001,square,500,88,-13.557264974066209
201,friedman_mse,4,sqrt,0.0001,square,1000,88,-13.555056387413524
202,friedman_mse,4,sqrt,0.0001,square,1500,88,-13.55504094812369
203,friedman_mse,4,sqrt,0.0001,square,2000,88,-13.554979544427827
204,friedman_mse,4,sqrt,0.0001,square,2500,88,-13.55493519315469
205,friedman_mse,4,sqrt,0.0002,square,500,88,-13.553850143002473
206,friedman_mse,4,sqrt,0.0002,square,1000,88,-13.550206134913827
207,friedman_mse,4,sqrt,0.0002,square,1500,88,-13.548033995033148
208,friedman_mse,4,sqrt,0.0002,square,2000,88,-13.546861662411349
209,friedman_mse,4,sqrt,0.0002,square,2500,88,-13.547708691668186
210,friedman_mse,5,sqrt,5e-05,square,500,88,-13.501320958878367
211,friedman_mse,5,sqrt,5e-05,square,1000,88,-13.507415412515721
212,friedman_mse,5,sqrt,5e-05,square,1500,88,-13.51048587662081
213,friedman_mse,5,sqrt,5e-05,square,2000,88,-13.510874398914382
214,friedman_mse,5,sqrt,5e-05,square,2500,88,-13.511361453581387
215,friedman_mse,5,sqrt,0.0001,square,500,88,-13.505706437506273
216,friedman_mse,5,sqrt,0.0001,square,1000,88,-13.508610254825658
217,friedman_mse,5,sqrt,0.0001,square,1500,88,-13.506345449605693
218,friedman_mse,5,sqrt,0.0001,square,2000,88,-13.50743479911564
219,friedman_mse,5,sqrt,0.0001,square,2500,88,-13.508851760248692
220,friedman_mse,5,sqrt,0.0002,square,500,88,-13.506762818376888
221,friedman_mse,5,sqrt,0.0002,square,1000,88,-13.507687489196863
222,friedman_mse,5,sqrt,0.0002,square,1500,88,-13.507794558309731
223,friedman_mse,5,sqrt,0.0002,square,2000,88,-13.507209049563485
224,friedman_mse,5,sqrt,0.0002,square,2500,88,-13.509517694419468
225,friedman_mse,6,sqrt,5e-05,square,500,88,-13.475559060390788
226,friedman_mse,6,sqrt,5e-05,square,1000,88,-13.480171175508364
227,friedman_mse,6,sqrt,5e-05,square,1500,88,-13.479457969843613
228,friedman_mse,6,sqrt,5e-05,square,2000,88,-13.479343337019884
229,friedman_mse,6,sqrt,5e-05,square,2500,88,-13.480698495840835
230,friedman_mse,6,sqrt,0.0001,square,500,88,-13.467198026974733
231,friedman_mse,6,sqrt,0.0001,square,1000,88,-13.471639100991013
232,friedman_mse,6,sqrt,0.0001,square,1500,88,-13.475340622003069
233,friedman_mse,6,sqrt,0.0001,square,2000,88,-13.477278718115006
234,friedman_mse,6,sqrt,0.0001,square,2500,88,-13.477899239013277
235,friedman_mse,6,sqrt,0.0002,square,500,88,-13.46922942883127
236,friedman_mse,6,sqrt,0.0002,square,1000,88,-13.47127938697707
237,friedman_mse,6,sqrt,0.0002,square,1500,88,-13.471647955174802
238,friedman_mse,6,sqrt,0.0002,square,2000,88,-13.474679040340678
239,friedman_mse,6,sqrt,0.0002,square,2500,88,-13.476594736255006
240,friedman_mse,7,sqrt,5e-05,square,500,88,-13.462510583688564
241,friedman_mse,7,sqrt,5e-05,square,1000,88,-13.459539508600054
242,friedman_mse,7,sqrt,5e-05,square,1500,88,-13.457691661190282
243,friedman_mse,7,sqrt,5e-05,square,2000,88,-13.459655425176313
244,friedman_mse,7,sqrt,5e-05,square,2500,88,-13.4603917438048
245,friedman_mse,7,sqrt,0.0001,square,500,88,-13.456139725794083
246,friedman_mse,7,sqrt,0.0001,square,1000,88,-13.45929058840892
247,friedman_mse,7,sqrt,0.0001,square,1500,88,-13.457827437710572
248,friedman_mse,7,sqrt,0.0001,square,2000,88,-13.460421994037393
249,friedman_mse,7,sqrt,0.0001,square,2500,88,-13.459824804918364
250,friedman_mse,7,sqrt,0.0002,square,500,88,-13.467510543221763
251,friedman_mse,7,sqrt,0.0002,square,1000,88,-13.464055634699765
252,friedman_mse,7,sqrt,0.0002,square,1500,88,-13.46085130669348
253,friedman_mse,7,sqrt,0.0002,square,2000,88,-13.460302265066606
254,friedman_mse,7,sqrt,0.0002,square,2500,88,-13.46275557764235
255,friedman_mse,8,sqrt,5e-05,square,500,88,-13.449364605382911
256,friedman_mse,8,sqrt,5e-05,square,1000,88,-13.451130011100954
257,friedman_mse,8,sqrt,5e-05,square,1500,88,-13.451723386877987
258,friedman_mse,8,sqrt,5e-05,square,2000,88,-13.451597765513972
259,friedman_mse,8,sqrt,5e-05,square,2500,88,-13.449979115745956
260,friedman_mse,8,sqrt,0.0001,square,500,88,-13.463942775239166
261,friedman_mse,8,sqrt,0.0001,square,1000,88,-13.455132587962499
262,friedman_mse,8,sqrt,0.0001,square,1500,88,-13.453398841864109
263,friedman_mse,8,sqrt,0.0001,square,2000,88,-13.455365208641979
264,friedman_mse,8,sqrt,0.0001,square,2500,88,-13.45503697302315
265,friedman_mse,8,sqrt,0.0002,square,500,88,-13.448401698970875
